SUNY College at Buffalo|1300 Elmwood Ave|Buffalo|NY|14222
SUNY College at Cortland|PO Box 2000|Cortland|NY|13045
SUNY at Fredonia|280 Central Ave|Fredonia|NY|14063
SUNY College at Geneseo|1 College Circle|Geneseo|NY|14454
SUNY College at New Paltz|1 Hawk Drive|New Paltz|NY|12561
SUNY College at Oneonta|Ravine Parkway|Oneonta|NY|13820
SUNY College at Oswego|7060 State Route 104|Oswego|NY|13126
SUNY - Potsdam|44 Pierrepont Ave|Potsdam|NY|13676
SUNY College at Purchase|735 Anderson Hill Road|Purchase|NY|10577
SUNY College of Optometry|33 West 42nd Street|New York|NY|10036
SUNY College at Old Westbury|223 Store Hill Rd|Old Westbury|NY|11568
SUNY College at Plattsburgh|101 Broad Street|Plattsburgh|NY|12901
SUNY Empire State College|1 Union Ave|Saratoga Springs|NY|12866
SUNY Maritime College|6 Pennyfield Ave|Bronx|NY|10465
SUNY  Upstate Medical University|750 E Adams St|Syracuse|NY|13210
Swedish Institute|226 W 26th Street,  5th Floor|New York|NY|10001
Syracuse University|900 S. Crouse Ave, Suite 600|Syracuse|NY|13244
Talmudical Seminary Oholei Torah|667 Eastern Pky|Brooklyn|NY|11213
Talmudical Institute of Upstate New York|769 Park Ave|Rochester|NY|14607
Taylor Business Institute|23 West 17th Street, 7th Fl.|New York|NY|10011
Teachers College at Columbia University|525 W 120th Street|New York|NY|10027
Technical Career Institutes|320 West 31st Street|New York|NY|10001
Tompkins-Cortland Community College|170 North Street|Dryden|NY|13053
Torah Temimah Talmudical Seminary|507 Ocean Pky|Brooklyn|NY|11218
Touro College|27-33 W 23rd St|New York|NY|10010
Triple Cities School of Beauty Culture|5 Court Street|Binghamton|NY|13901
Trocaire College|360 Choate Ave|Buffalo|NY|14220
Troy School of Beauty Culture|86 Congress Street|Troy|NY|12180
Excelsior College|7 Columbia Cir|Albany|NY|12203
Ulster County Community College|Cottekill Road|Stone Ridge|NY|12484
Union Graduate College|80 Nott Terrace|Schenectady|NY|12308
Union Theological Seminary|3041 Broadway|New York|NY|10027
United Talmudical Seminary|191 Rodney Street|Brooklyn|NY|11211
United States Merchant Marine Academy|Steamboat Rd|Kings Point|NY|11024
United States Military Academy|Institutional Research/Analysis Branch|West  Point|NY|10996
Utica College|1600 Burrstone Rd|Utica|NY|13502
Utica School of Commerce|201 Bleecker St|Utica|NY|13501
Vassar College|124 Raymond Ave|Poughkeepsie|NY|12604
Villa Maria College Buffalo|240 Pine Ridge Rd|Buffalo|NY|14225
School of Visual Arts|209 E 23rd St|New York|NY|10010
Wagner College|One Campus Rd|Staten Island|NY|10301
W.C.A. Hospital|207 Foote Avenue|Jamestown|NY|14701
Webb Institute|298 Crescent Beach Rd|Glen Cove|NY|11542
Wells College|170 State Rte 90|Aurora|NY|13026
The College of Westchester|325 Central Park Ave|White Plains|NY|10606
SUNY Westchester Community College|75 Grasslands Road|Valhalla|NY|10595
Westchester School of Beauty Culture|Six Gramatan Ave|Mount Vernon|NY|10550
Wood Tobe-Coburn School|8 E 40th St|New  York|NY|10016
Word of Life Bible Institute|4200 Glendale Road|Pottersville|NY|12860
Yeshiva Karlin Stolin|1818 54th St|Brooklyn|NY|11204
Yeshivat Mikdash Melech|1326 Ocean Pky|Brooklyn|NY|11230
Yeshiva Derech Chaim|1573 39th St|Brooklyn|NY|11218
Yeshiva of Nitra Rabbinical College|Pines Bridge Road|Mount Kisco|NY|10549
Yeshiva Shaar HaTorah|117-06 84 Avenue|Kew Gardens|NY|11418
Yeshiva University|500 W 185th St|New York|NY|10033
Yeshivath Viznitz|15 Elyon Road|Monsey|NY|10952
Yeshivath Zichron Moshe|PO Box 580 / 84 Laurel Park Road|South Fallsburg|NY|12779
Hebrew Union College - Jewish Institute of Religion|One West 4th Street|New York|NY|10012
Ohr Somayach|142 Rte 306|Monsey|NY|10952
Yeshiva and Kollel Harbotzas Torah|1049 E 15th St|Brooklyn|NY|11230
Unification Theological Seminary|30 Seminary Drive|Barrytown|NY|12507
Sanford-Brown Institute - White Plains|333 Westchester Avenue|White Plains|NY|10604
Oswego County BOCES|179 County  Route 64|Mexico|NY|13114
The Art Institute of New York City|11-17 Beach Street|New York|NY|10013
New York Academy of Art|111 Franklin St|New York|NY|10013
Suffolk County Community College|533 College Road|Selden|NY|11784
National Tractor Trailer School Inc|4650 Buckley Rd|Liverpool|NY|13088
Beauty School of Middletown|225 Dolson Ave|Middletown|NY|10940
